,no,id_numbers,id,tweets,keywords
0,0,['1663959198156062727'],1.66e+18,Tech Talk Guru Craig Peterson breaks down more barriers to a bright future of next generation nuclear power. https://t.co/nEg4rVBgHJ,nuclear power
1,1,['1663959177247735808'],1.66e+18,RT @JayinKyiv: The exact narrative you'd expect Russia to put out if they were about to blow up a Ukrainian nuclear power plant to then bla?â‚¬?,nuclear power
2,2,['1663959149237895183'],1.66e+18,"Remember when Biden and the demonrats shut down pipelines, drilling, exploration, coal ,gas and nuclear power plants ? They're setting up the infrastructure for failure and planning to blame conservatives when they shut it ????",nuclear power
3,3,['1663959054828580864'],1.66e+18,"#Constitution Can anyone explain how it's constitutional for the president to have a nuclear button?

The power supposedly resides with Congress. If they want to move it to the executive branch they need to have specific rules where the president is simply a last check.",nuclear power
4,4,['1663959041012269065'],1.66e+18,@DaveyBiden2024 @Socialistdemmo Use the open land to make thousands of nuclear power plants,nuclear power
5,5,['1663958958682394624'],1.66e+18,"???????? Rosatom offers ???????? India small-sized nuclear power plant (SNPP) project   

????Russia?â‚¬?s nuclear energy corporation plans to submit a preliminary design for such a plant by the end of this year, the company said.

Subscribe to @sputniknewsindia https://t.co/sqnMtYOfJs",nuclear power
6,6,['1663958913035931653'],1.66e+18,"RT @MonicaM444: Employees of the ZNPP have been abused long enough. Some that were ex military of ????????, or that showed a Pro-Ukrainian stance?â‚¬?",nuclear power
7,7,['1663958902138863646'],1.66e+18,RT @JayinKyiv: Russian state media just put out the exact narrative you'd expect them to put out if they were going to blow up a nuclear po?â‚¬?,nuclear power
8,8,"['1663953132626526208', '1663958844052242433']",1.66e+18,"Just learned about nuclear Stirling generators this week.

And I must say, the prospect of unlimited power has never been more cool. https://t.co/eqvcrOqazi https://t.co/2xSTaPGtvW",nuclear power
9,9,['1663958796677570561'],1.66e+18,"RT @Prolotario1: Cyber Attack 

Power Grid 

Mass Shootings

Virus

Nuclear Attack 

Border Invasion 

UFO Invasion 

I told you all they w?â‚¬?",nuclear power
10,10,['1663966848747192326'],1.66e+18,"@MriyaReport Hun Sen is threatening Asian countries that Cambodia is also producing nuclear energy, he has announced three times. https://t.co/ZE0qe86Z8T",nuclear energy
11,11,['1663966765225787403'],1.66e+18,"@tonyannett You might want to double-check what you cite. Austria  gets 65% of their power from hydro (https://t.co/C2r6WaSbsI). Sweden as I said in our dialogue gets 74% from hydro/nuclear. The majority of Portugal's energy relies on coal, gas, and hydro. There's a transition, not rapid.",nuclear energy
12,12,['1663966481564987393'],1.66e+18,@RachelReevesMP @rodrikdani @GeorgeDibb Low density renewable energy is sufficient for domestic electricity but we would require a fleet of nuclear power stations if we want to sufficiently power commercial electricity.,nuclear energy
13,13,['1663966219400036364'],1.66e+18,"@mikoske This is why we need industrial scale energy storage solutions.
Lowering nuclear output is very sub-optimal way of solving the energy flood.",nuclear energy
14,14,['1663966162185584640'],1.66e+18,"Jared Huffman (D-CA), who is going to vote against the debt ceiling bill because of one pipeline in West Virginia, in 2014 offered an amendment to reduce funding for nuclear energy research. 
https://t.co/S2VVa2zmPn https://t.co/TLMeo5lxmf https://t.co/GUBtJnpPYC",nuclear energy
15,15,['1663966097614295041'],1.66e+18,RT @MikeHudema: France is requiring all 80 stall+ parking lots ?â‚¬? both existing and new ?â‚¬? to be covered by solar panels. That would add 10 n?â‚¬?,nuclear energy
16,16,['1663965964663242752'],1.66e+18,@Cornish_Rebel @ox_anna29 Plus they never factor in decommissioning in the costing let future generations worry about that ? We are best placed in EU for renewable energy the severn estuary tidal lagoon project for example Tidal systems could be huge with similar level of investment to Nuclear,nuclear energy
17,17,['1663965884891668481'],1.66e+18,"RT @Marian_L_Tupy: Finnish electricity price drops BELOW ZERO after the latest nuclear reactor is switched on.

That is what the world coul?â‚¬?",nuclear energy
18,18,['1663965455596257280'],1.66e+18,@2closetocall That?â‚¬?s at least one  full scale nuclear plant or multiple modular plants that could have been built to improve our energy grid. Volpe is doing amazing job chasing his lobby checks with bs math. Best part this plant was going to be built ex subsidies until VW.,nuclear energy
19,19,['1663965451448139783'],1.66e+18,"RT @johncarlbaker: ""It is shocking that the Energy Department, without even notifying the public, would undermine a decades-old, bipartisan?â‚¬?",nuclear energy
23,23,['1664340945373106176'],1.66e+18,"@MQMFLORIDA1   @azizabadi 
The Baloch speakers vehemently denounced Pakistan's nuclear testing in Balochistan and said that the Changhai region of Balochistan is currently experiencing the impacts of radiation as a result.#NukeAftermathInBalochistan #BalochistanIsNotALaboratory https://t.co/eOea4KggQx",nuclear reactor
24,24,['1664340832055336961'],1.66e+18,"@gaborgurbacs @stats_feed It's regulated to death
In the UK.
Two possible sites have been rejected because the background natural radiation is twice the allowable levels of normal nuclear power generation.
In the meantime Scotland is paying the world's highest electricity prices
100% renewable.",nuclear reactor
27,27,"['1664338731354955777', '1664339270306242567', '1664342665503055901']",1.66e+18,"When someone says you get more radiation from jet travel than from a nuclear power plant, they are telling such a half truth that they are essentially deceiving you. 

The radioactive concern with nuclear power comes from radioactive particles released into the environment at?â‚¬? https://t.co/oMLPrqX8lX",nuclear reactor
28,28,['1664339056673562643'],1.66e+18,"@RebeccaAVelo A nuclear bomb vs. Marxist govt:
Both ensure an equitable world with shared rights and a common standard of living.

One has radiation, the other doesn't.
Otherwise they're essentially indistinguishable.",nuclear reactor
