data,,,meta,,,
edit_history_tweet_ids,id,text,newest_id,oldest_id,result_count,next_token
1.66364555202884E+018,1.66364555202884E+018,@nature_moments9 Is it true that the Flagship Norwegian fish life have been found to be contaminated with radioactive nuclear waste?,1.66364555202884E+018,1.66363104630947E+018,10,b26v89c19zqg8o3fqkizhkl29v7a7jwnq6lc924em9cvx
1.66364548172391E+018,1.66364548172391E+018,"Did you know @ORNL turns 80 this year? In honor of this anniversary, we are focusing on key historic moments at the lab. Like the discovery of promethium! Promethium is a radioactive rare-earth metal used in nuclear batteries.
#ORNL80 #chemistry #neutrons #sciencehistory https://t.co/LTGNNjA9UV",,,,
1.66364435228593E+018,1.66364435228593E+018,"RT @DavidGMcGreevy: President Jimmy Carter personally climbed down into a Nuclear Reactor to stabilize it, making his urine radioactive for…",,,,
1.66363901709349E+018,1.66363901709349E+018,RT @DI_Ukraine: ‼️ Russians are preparing massive provocation and imitation of the accident at the Zaporizhzhia nuclear plant in the neares…,,,,
1.66363772929964E+018,1.66363772929964E+018,"President Jimmy Carter personally climbed down into a Nuclear Reactor to stabilize it, making his urine radioactive for months.

Trump refused to go to a WW1 memorial in France because it was raining and he might get his hair wet. https://t.co/9nnsO8498t",,,,
1.66363534972838E+018,1.66363534972838E+018,"RT @NoNukeBailouts: A petition calling for the adoption of a ""proximity  principle"" for high-level nuclear radioactive waste was presented…",,,,
1.66363486470745E+018,1.66363486470745E+018,"@downs1nthehouse @AiG I'm not trying to fool you. I'm asking genuine questions that you cannot answer.

Why are the short-lived radioactive isotopes that are not being continually produced by natural nuclear reactions missing from the Earths crust?

Would you like me to answer for you?",,,,
1.66363382764481E+018,1.66363382764481E+018,"RT @France24_en: 🇯🇵 #Japan is preparing to release diluted cooling water from the stricken #Fukushima #nuclear plant into the sea. 

But ne…",,,,
1.66363117863145E+018,1.66363117863145E+018,"A petition calling for the adoption of a ""proximity  principle"" for high-level nuclear radioactive waste was presented in ON’s Leg today -- rather than dumping it in a hole on FN land in W or N #Ontario.
#onpoli 
https://t.co/IwHNSLPCDa",,,,
1.66363104630947E+018,1.66363104630947E+018,"RT @France24_en: 🇯🇵 #Japan is preparing to release diluted cooling water from the stricken #Fukushima #nuclear plant into the sea. 

But ne…",,,,
